,time_in_sec,Acceleration_vertical_axis(in G),Acceleration_lateral_axis(in G),id_of_antenna_reading,signal_strength_indicator(RSSI),Phase,Frequency,target
0,3.25,0.96229,-0.059296,4,-56.5,1.2563,924.75,1
1,4.0,0.99674,-0.070699,1,-63.5,3.8718,922.75,1
2,5.0,0.99674,-0.093505,1,-64.0,2.4943,924.25,1
3,5.5,1.0312,-0.12771,1,-64.5,2.008,924.75,1
4,6.0,1.0312,-0.12771,1,-66.0,1.1904,925.75,1
5,6.5,1.0312,-0.12771,1,-63.0,0.61206,922.75,1
6,6.75,1.0312,-0.12771,1,-65.0,1.6506,925.25,1
7,7.75,0.99674,-0.070699,1,-62.0,4.8075,921.75,1
8,8.0,0.99674,-0.070699,4,-56.5,4.5252,924.75,1
9,9.0,0.92784,-0.0022806,1,-62.5,3.8135,922.75,1
10,9.75,0.93932,-0.025087,1,-64.0,2.4130000000000003,924.25,1
11,10.0,0.93932,-0.025087,1,-62.5,1.5309,921.75,1
12,10.5,0.93932,-0.025087,1,-64.5,5.2247,924.75,1
13,10.75,0.93932,-0.025087,4,-58.0,0.50468,925.75,1
14,12.0,0.99674,-0.070699,1,-64.0,2.462,924.25,1
15,12.5,0.99674,-0.070699,1,-63.0,5.9089,920.25,1
16,13.0,0.99674,-0.070699,1,-64.0,1.9926,924.75,1
17,14.0,0.93932,-0.0022806,1,-62.0,1.9221,921.25,1
18,15.25,1.0082,-0.10491,4,-57.0,1.3714,924.75,1
19,15.5,1.0082,-0.10491,1,-62.0,1.0845,922.25,1
20,16.5,1.0312,-0.093505,1,-65.0,4.5697,925.25,1
21,17.5,1.0197,-0.10491,1,-62.5,1.5064,921.75,1
22,18.5,0.99674,-0.070699,1,-64.0,5.9963,923.75,1
23,18.75,0.99674,-0.070699,1,-62.0,1.9205,921.25,1
24,19.25,0.99674,-0.070699,1,-62.5,2.2764,920.75,1
25,20.0,0.91636,0.0091224,1,-63.0,6.2663,923.25,1
26,21.0,0.92784,0.020525,1,-64.0,2.8532,923.75,1
27,22.75,1.0312,-0.12771,1,-64.5,4.9087,924.75,1
28,23.0,1.0312,-0.12771,4,-57.5,0.5476300000000001,925.75,1
29,23.25,1.0312,-0.12771,1,-63.5,5.7724,923.75,1
30,24.5,1.0197,-0.10491,1,-62.5,5.6635,920.25,1
31,26.25,1.0197,-0.10491,1,-62.0,4.8934,921.25,1
32,27.75,1.0312,-0.11631,1,-62.5,0.8452200000000001,922.25,1
33,28.5,0.91636,0.020525,1,-62.5,1.7518,921.25,1
34,29.0,0.91636,0.020525,1,-62.0,5.3214,920.75,1
35,29.5,0.91636,0.020525,1,-62.5,2.5541,920.25,1
36,29.75,0.91636,0.020525,1,-63.0,6.2341,923.25,1
37,30.5,0.91636,-0.0022806,1,-59.5,0.20555,923.75,1
38,30.75,0.91636,-0.0022806,1,-58.5,1.2809,922.75,1
39,31.75,1.0082,-0.16192,1,-59.5,6.2004,920.25,1
40,32.5,0.97377,-0.047893,1,-59.5,1.3867,922.25,1
41,33.0,0.97377,-0.047893,1,-61.5,6.2387,923.75,1
42,33.5,0.97377,-0.03649,1,-63.0,1.7671,925.25,1
43,34.0,1.0197,-0.13912,1,-61.5,2.6323,924.25,1
44,34.5,1.0197,-0.13912,1,-60.0,1.8024,921.75,1
45,35.5,0.8704200000000001,0.11175,4,-57.0,4.5636,923.75,1
